Num,exponent,digits in M_p,digits in P_p
1,2,1,1
2,3,1,2
3,5,2,3
4,7,3,4
5,13,4,8
6,17,6,10
7,19,6,12
8,31,10,19
9,61,19,37
10,89,27,54
11,107,33,65
12,127,39,77
13,521,157,314
14,607,183,366
15,1279,386,770
16,2203,664,1327
17,2281,687,1373
18,3217,969,1937
19,4253,1281,2561
20,4423,1332,2663
21,9689,2917,5834
22,9941,2993,5985
23,11213,3376,6751
24,19937,6002,12003
25,21701,6533,13066
26,23209,6987,13973
27,44497,13395,26790
28,86243,25962,51924
29,110503,33265,66530
30,132049,39751,79502
31,216091,65050,130100
32,756839,227832,455663
33,859433,258716,517430
34,1257787,378632,757263
35,1398269,420921,841842
36,2976221,895932,1791864
37,3021377,909526,1819050
38,6972593,2098960,4197919
39,13466917,4053946,8107892
40,20996011,6320430,12640858
41,24036583,7235733,14471465
42,25964951,7816230,15632458
43,30402457,9152052,18304103
44,32582657,9808358,19616714
45,37156667,11185272,22370543
46,42643801,12837064,25674127
47,43112609,12978189,25956377
48?,57885161,17425170,34850339
49?,74207281,22338618,44677235
50?,77232917,23249425,46498850
51?,82589933,24862048,49724095